review_id,rating,review
R01,5,"Love the clean design and how fast it loads. Searching is instant and the filters actually make sense."
R02,2,"Good idea, but it crashes every time I try to upload a photo. I restarted my phone twice and it still fails."
R03,4,"Notifications are helpful and not spammy. I just wish I could customize the reminder times."
R04,1,"The latest update broke login. It keeps saying my password is wrong even though it works on the website."
R05,3,"It does what it says, but the onboarding is confusing and the tutorial skips important steps."
R06,5,"Customer support replied within an hour and solved my issue. That alone makes this a five-star app for me."
R07,2,"Too many pop-ups asking for subscriptions. I couldn't even try the basic features without being interrupted."
R08,4,"Great overall. Dark mode looks awesome, but the text is a little small on my screen."
R09,3,"Sync works most of the time. When it doesn't, there’s no clear error message, so I don’t know what to do."
R10,4,"I use it daily for quick notes. The new widgets are nice and save me time."
